PARAMETER,YEAR,LAT,LON, IRRAD [kW-hr/m^2/day]
ALLSKY_SFC_SW_DWN,1985,18.25,-160.75,5.44
ALLSKY_SFC_SW_DWN,1985,18.25,-161.25,5.49
ALLSKY_SFC_SW_DWN,1985,18.25,-161.75,5.49
ALLSKY_SFC_SW_DWN,1985,18.75,-153.25,5.44
ALLSKY_SFC_SW_DWN,1985,18.75,-153.75,5.44
ALLSKY_SFC_SW_DWN,1985,18.75,-154.25,5.5
ALLSKY_SFC_SW_DWN,1985,18.75,-154.75,5.5
ALLSKY_SFC_SW_DWN,1985,18.75,-155.25,5.62
ALLSKY_SFC_SW_DWN,1985,18.75,-155.75,5.62
ALLSKY_SFC_SW_DWN,1985,18.75,-156.25,5.64
ALLSKY_SFC_SW_DWN,1985,18.75,-156.75,5.64
ALLSKY_SFC_SW_DWN,1985,18.75,-157.25,5.4
ALLSKY_SFC_SW_DWN,1985,18.75,-157.75,5.4
ALLSKY_SFC_SW_DWN,1985,18.75,-158.25,5.32
ALLSKY_SFC_SW_DWN,1985,18.75,-158.75,5.32
ALLSKY_SFC_SW_DWN,1985,18.75,-159.25,5.37
ALLSKY_SFC_SW_DWN,1985,18.75,-159.75,5.37
ALLSKY_SFC_SW_DWN,1985,18.75,-160.25,5.44
ALLSKY_SFC_SW_DWN,1985,18.75,-160.75,5.44
ALLSKY_SFC_SW_DWN,1985,18.75,-161.25,5.49
ALLSKY_SFC_SW_DWN,1985,18.75,-161.75,5.49
ALLSKY_SFC_SW_DWN,1985,19.25,-153.25,5.47
ALLSKY_SFC_SW_DWN,1985,19.25,-153.75,5.47
ALLSKY_SFC_SW_DWN,1985,19.25,-154.25,5.19
ALLSKY_SFC_SW_DWN,1985,19.25,-154.75,5.19
ALLSKY_SFC_SW_DWN,1985,19.25,-155.25,5.46
ALLSKY_SFC_SW_DWN,1985,19.25,-155.75,5.46
ALLSKY_SFC_SW_DWN,1985,19.25,-156.25,5.76
ALLSKY_SFC_SW_DWN,1985,19.25,-156.75,5.76
ALLSKY_SFC_SW_DWN,1985,19.25,-157.25,5.54
ALLSKY_SFC_SW_DWN,1985,19.25,-157.75,5.54
ALLSKY_SFC_SW_DWN,1985,19.25,-158.25,5.45
ALLSKY_SFC_SW_DWN,1985,19.25,-158.75,5.45
ALLSKY_SFC_SW_DWN,1985,19.25,-159.25,5.38
ALLSKY_SFC_SW_DWN,1985,19.25,-159.75,5.38
ALLSKY_SFC_SW_DWN,1985,19.25,-160.25,5.38
ALLSKY_SFC_SW_DWN,1985,19.25,-160.75,5.38
ALLSKY_SFC_SW_DWN,1985,19.25,-161.25,5.45
ALLSKY_SFC_SW_DWN,1985,19.25,-161.75,5.45
ALLSKY_SFC_SW_DWN,1985,19.75,-153.25,5.47
ALLSKY_SFC_SW_DWN,1985,19.75,-153.75,5.47
ALLSKY_SFC_SW_DWN,1985,19.75,-154.25,5.19
ALLSKY_SFC_SW_DWN,1985,19.75,-154.75,5.19
ALLSKY_SFC_SW_DWN,1985,19.75,-155.25,5.46
ALLSKY_SFC_SW_DWN,1985,19.75,-155.75,5.46
ALLSKY_SFC_SW_DWN,1985,19.75,-156.25,5.76
ALLSKY_SFC_SW_DWN,1985,19.75,-156.75,5.76
ALLSKY_SFC_SW_DWN,1985,19.75,-157.25,5.54
ALLSKY_SFC_SW_DWN,1985,19.75,-157.75,5.54
ALLSKY_SFC_SW_DWN,1985,19.75,-158.25,5.45
ALLSKY_SFC_SW_DWN,1985,19.75,-158.75,5.45
ALLSKY_SFC_SW_DWN,1985,19.75,-159.25,5.38
ALLSKY_SFC_SW_DWN,1985,19.75,-159.75,5.38
ALLSKY_SFC_SW_DWN,1985,19.75,-160.25,5.38
ALLSKY_SFC_SW_DWN,1985,19.75,-160.75,5.38
ALLSKY_SFC_SW_DWN,1985,19.75,-161.25,5.45
ALLSKY_SFC_SW_DWN,1985,19.75,-161.75,5.45
ALLSKY_SFC_SW_DWN,1985,20.25,-153.25,5.46
ALLSKY_SFC_SW_DWN,1985,20.25,-153.75,5.46
ALLSKY_SFC_SW_DWN,1985,20.25,-154.25,5.43
ALLSKY_SFC_SW_DWN,1985,20.25,-154.75,5.43
ALLSKY_SFC_SW_DWN,1985,20.25,-155.25,5.34
ALLSKY_SFC_SW_DWN,1985,20.25,-155.75,5.34
ALLSKY_SFC_SW_DWN,1985,20.25,-156.25,5.82
ALLSKY_SFC_SW_DWN,1985,20.25,-156.75,5.82
ALLSKY_SFC_SW_DWN,1985,20.25,-157.25,5.78
ALLSKY_SFC_SW_DWN,1985,20.25,-157.75,5.78
ALLSKY_SFC_SW_DWN,1985,20.25,-158.25,5.69
ALLSKY_SFC_SW_DWN,1985,20.25,-158.75,5.69
ALLSKY_SFC_SW_DWN,1985,20.25,-159.25,5.58
ALLSKY_SFC_SW_DWN,1985,20.25,-159.75,5.58
ALLSKY_SFC_SW_DWN,1985,20.25,-160.25,5.49
ALLSKY_SFC_SW_DWN,1985,20.25,-160.75,5.49
ALLSKY_SFC_SW_DWN,1985,20.25,-161.25,5.53
ALLSKY_SFC_SW_DWN,1985,20.25,-161.75,5.53
ALLSKY_SFC_SW_DWN,1985,20.75,-153.25,5.46
ALLSKY_SFC_SW_DWN,1985,20.75,-153.75,5.46
ALLSKY_SFC_SW_DWN,1985,20.75,-154.25,5.43
ALLSKY_SFC_SW_DWN,1985,20.75,-154.75,5.43
ALLSKY_SFC_SW_DWN,1985,20.75,-155.25,5.34
ALLSKY_SFC_SW_DWN,1985,20.75,-155.75,5.34
ALLSKY_SFC_SW_DWN,1985,20.75,-156.25,5.82
ALLSKY_SFC_SW_DWN,1985,20.75,-156.75,5.82
ALLSKY_SFC_SW_DWN,1985,20.75,-157.25,5.78
ALLSKY_SFC_SW_DWN,1985,20.75,-157.75,5.78
ALLSKY_SFC_SW_DWN,1985,20.75,-158.25,5.69
ALLSKY_SFC_SW_DWN,1985,20.75,-158.75,5.69
ALLSKY_SFC_SW_DWN,1985,20.75,-159.25,5.58
ALLSKY_SFC_SW_DWN,1985,20.75,-159.75,5.58
ALLSKY_SFC_SW_DWN,1985,20.75,-160.25,5.49
ALLSKY_SFC_SW_DWN,1985,20.75,-160.75,5.49
ALLSKY_SFC_SW_DWN,1985,20.75,-161.25,5.53
ALLSKY_SFC_SW_DWN,1985,20.75,-161.75,5.53
ALLSKY_SFC_SW_DWN,1985,21.25,-153.25,5.47
ALLSKY_SFC_SW_DWN,1985,21.25,-153.75,5.47
ALLSKY_SFC_SW_DWN,1985,21.25,-154.25,5.5
ALLSKY_SFC_SW_DWN,1985,21.25,-154.75,5.5
ALLSKY_SFC_SW_DWN,1985,21.25,-155.25,5.54
ALLSKY_SFC_SW_DWN,1985,21.25,-155.75,5.54
ALLSKY_SFC_SW_DWN,1985,21.25,-156.25,5.51
ALLSKY_SFC_SW_DWN,1985,21.25,-156.75,5.51
ALLSKY_SFC_SW_DWN,1985,21.25,-157.25,5.45
ALLSKY_SFC_SW_DWN,1985,21.25,-157.75,5.45
ALLSKY_SFC_SW_DWN,1985,21.25,-158.25,5.65
ALLSKY_SFC_SW_DWN,1985,21.25,-158.75,5.65
ALLSKY_SFC_SW_DWN,1985,21.25,-159.25,5.64
ALLSKY_SFC_SW_DWN,1985,21.25,-159.75,5.64
ALLSKY_SFC_SW_DWN,1985,21.25,-160.25,5.62
ALLSKY_SFC_SW_DWN,1985,21.25,-160.75,5.62
ALLSKY_SFC_SW_DWN,1985,21.25,-161.25,5.55
ALLSKY_SFC_SW_DWN,1985,21.25,-161.75,5.55
ALLSKY_SFC_SW_DWN,1985,21.75,-153.25,5.47
ALLSKY_SFC_SW_DWN,1985,21.75,-153.75,5.47
ALLSKY_SFC_SW_DWN,1985,21.75,-154.25,5.5
ALLSKY_SFC_SW_DWN,1985,21.75,-154.75,5.5
ALLSKY_SFC_SW_DWN,1985,21.75,-155.25,5.54
ALLSKY_SFC_SW_DWN,1985,21.75,-155.75,5.54
ALLSKY_SFC_SW_DWN,1985,21.75,-156.25,5.51
ALLSKY_SFC_SW_DWN,1985,21.75,-156.75,5.51
ALLSKY_SFC_SW_DWN,1985,21.75,-157.25,5.45
ALLSKY_SFC_SW_DWN,1985,21.75,-157.75,5.45
